"tmax","year"
31.9496161955398,1925
36.0416756737657,1926
31.159828547087,1927
32.7971225201649,1928
33.0403312948994,1929
32.4182684507718,1930
32.9867266999379,1931
29.4803163207127,1932
29.7589310433517,1933
33.7207043443674,1934
32.5370657976808,1935
33.6424196467492,1936
32.9075487169865,1937
32.1361956871634,1938
31.4057437769146,1939
34.7649523458963,1940
33.311702862595,1941
32.6665662151316,1942
33.1231223165768,1943
33.0633399418685,1944
31.3948097854348,1945
30.969323492925,1946
32.3193405692325,1947
30.1950122351809,1948
30.3371168288159,1949
30.5027254336797,1950
30.4100208745064,1951
31.4589776445904,1952
32.261823701799,1953
31.3180927810593,1954
29.0980421797777,1955
27.8813175924486,1956
33.269481443722,1957
31.9886832532498,1958
30.4570485014575,1959
32.120789542172,1960
29.6741775624523,1961
31.7274339917258,1962
32.2635210934192,1963
29.532820118883,1964
29.8724331441617,1965
29.197485029883,1966
31.9817051856788,1967
31.2852199429104,1968
32.0017543224544,1969
30.7254029950155,1970
28.6771210443065,1971
28.0162448314357,1972
29.4037201633816,1973
30.9104837624458,1974
29.033133488841,1975
33.0951379141169,1976
33.160938001913,1977
33.4352513703778,1978
32.5821999123161,1979
32.0954312563312,1980
34.6750301590524,1981
29.2057037082781,1982
31.3852018151526,1983
32.8808612415141,1984
31.0167458926031,1985
33.1320362698467,1986
34.3303521728975,1987
32.4369833427062,1988
32.2968665138456,1989
31.319632013275,1990
32.6834824910772,1991
30.9196520434326,1992
35.7947311253554,1993
33.4024291460913,1994
32.9683483748827,1995
29.709970689118,1996
34.6866866291873,1997
33.2521836732274,1998
31.8924738502799,1999
34.5331008031654,2000
34.1884810205218,2001
35.2207144613247,2002
35.3429761749666,2003
35.9625729662555,2004
35.8700702298979,2005
31.8950132916987,2006
33.7362572771043,2007
30.9091665932284,2008
33.5918549153374,2009
34.0459171245454,2010
32.9794228175231,2011
30.665768663131,2012
34.7492159406157,2013
35.0977068758846,2014
35.9680288918639,2015
37.2959084719868,2016
33.8508753706663,2017
35.6576345480845,2018
38.0612760433768,2019
32.1718679854992,2020
