"prcp","year"
91.1394032057283,1925
92.5252963188794,1926
76.9349683897229,1927
104.814108600389,1928
97.2198718993338,1929
83.4571752428076,1930
87.7786587129381,1931
74.9525152296979,1932
69.9621371097866,1933
84.4773179507681,1934
93.0601429386143,1935
85.9405588944595,1936
77.9579043244993,1937
94.3616020267795,1938
93.2425577504655,1939
73.2337800757961,1940
79.2164207143831,1941
63.3990092202482,1942
96.8591121652205,1943
88.7235647052756,1944
75.8588383635056,1945
66.9010297435644,1946
81.4718274693721,1947
72.4732339171436,1948
81.0964032521945,1949
54.4148093689733,1950
65.5179255735297,1951
86.0994054108513,1952
71.075669728214,1953
65.8009795316089,1954
73.8500327164617,1955
73.999037254262,1956
63.89321428416,1957
79.0517759542861,1958
67.3619626333463,1959
79.223229858841,1960
81.1911456225803,1961
68.8205539313316,1962
79.7153140122796,1963
76.3313372081706,1964
78.9343880865726,1965
65.4579610597986,1966
72.7468131723405,1967
66.9704256231109,1968
54.4454844264751,1969
67.6586616272269,1970
74.1423575449492,1971
62.1686327181494,1972
57.962506300363,1973
68.2984182889828,1974
68.088684613813,1975
89.484817107846,1976
74.2671309315286,1977
68.7474971031188,1978
72.7177040945689,1979
79.3666953302249,1980
91.0572062141795,1981
60.9109911042147,1982
69.4949844354463,1983
68.4008224221187,1984
95.8790469554753,1985
85.5149154464517,1986
93.9172912876307,1987
100.628394990846,1988
87.0827007583438,1989
88.0002486281281,1990
88.2953035264837,1991
98.5429788345753,1992
79.5397131651494,1993
70.8923412307508,1994
67.1892771824024,1995
63.1397654659779,1996
80.2300758757318,1997
59.767119156728,1998
90.83072595648,1999
86.1980634483294,2000
72.4673209434757,2001
87.7179405106927,2002
65.3758983022457,2003
82.1153373415375,2004
88.3911643418618,2005
80.4086251635083,2006
61.2622474136942,2007
82.1126092306799,2008
67.2075949343791,2009
65.1081361366666,2010
72.2527335830001,2011
72.8890911687796,2012
86.8413576156721,2013
77.4805240291284,2014
86.3452786822241,2015
70.5164923781679,2016
69.4270878482351,2017
73.4321871444305,2018
58.4271842849054,2019
63.854423097549,2020
