"tave","year"
23.7107096126822,1925
27.9021980240468,1926
22.6808119000142,1927
24.7866069238713,1928
25.2022037158891,1929
23.7545094898544,1930
24.9989534005255,1931
21.4648217979295,1932
21.1708749311846,1933
25.3087872200388,1934
23.9393979383409,1935
24.9387370296621,1936
24.7382121387201,1937
24.6038296045119,1938
23.5313909753581,1939
26.1117522043592,1940
24.9904791224863,1941
24.8768397291644,1942
26.1068454308788,1943
25.8133407733638,1944
24.2288650339049,1945
23.4252180496046,1946
25.1427420963854,1947
22.2008644012287,1948
22.5310871033377,1949
21.9810780413062,1950
22.1961992815376,1951
23.7851421252766,1952
24.3029122715036,1953
23.1207958655123,1954
21.6610649584332,1955
20.6809202825497,1956
25.6248949769229,1957
24.5997617008203,1958
23.1112872174936,1959
25.0553106320949,1960
22.598139180322,1961
24.6769095248589,1962
25.1688184362237,1963
22.250107541257,1964
22.4533452114641,1965
21.6964683608949,1966
24.451690641209,1967
23.7052214253487,1968
24.2323648139984,1969
23.9995946912019,1970
21.2897267021347,1971
20.1535877276529,1972
21.9978905530672,1973
23.1741897942013,1974
21.3588481659919,1975
25.3832165744933,1976
25.8833650392003,1977
25.9640189713595,1978
24.7860438714002,1979
24.8959019373328,1980
27.7076870486544,1981
22.1735044208766,1982
24.551947060595,1983
25.4485915251596,1984
24.1399810246753,1985
25.8458245417266,1986
27.5086539439746,1987
25.826100595469,1988
24.721006115191,1989
23.8082804721458,1990
25.5321967500944,1991
24.2165031570133,1992
28.0111318002508,1993
25.2146427736467,1994
25.1785719048612,1995
21.6427758328767,1996
26.2499110152228,1997
24.9668675665557,1998
23.6364694242573,1999
26.7358123170098,2000
25.9381938056712,2001
26.7700649521409,2002
26.4244601471565,2003
26.9234331496798,2004
27.6385826607994,2005
23.6854531863144,2006
25.3345016762386,2007
23.3953072543203,2008
25.1560042202393,2009
25.9783584981146,2010
25.135777307844,2011
22.4633321357307,2012
26.3992030825516,2013
26.5648907573694,2014
27.6810242466815,2015
28.6112159425139,2016
25.7448228648722,2017
27.1408097915283,2018
29.4309839720521,2019
24.3242735038631,2020
